YIL;AY;URETIM_KAYNAGI;URETIM_MIKTARI
2016;12;Pınarbaşı Kuyuları;121578
2016;12;Buca ve Sarnıç Kuyuları;0
2016;12;Gördes Barajı;0
2016;12;Göksu Kuyuları;2593496
2016;12;Tahtalı Barajı;6930300
2016;12;Balçova Barajı;0
2016;12;Ürkmez Barajı;51338
2016;12;Güzelhisar Barajı;179564
2016;12;Sarıkız Kuyuları;3538504
2016;12;Menemen - Çavuşköy Kuyuları;1451156
2016;12;Halkapınar Kuyuları;2850304
2016;11;Halkapınar Kuyuları;2639112
2016;11;Menemen - Çavuşköy Kuyuları;1211828
2016;11;Sarıkız Kuyuları;3505556
2016;11;Güzelhisar Barajı;179034
2016;11;Ürkmez Barajı;60115
2016;11;Balçova Barajı;0
2016;11;Tahtalı Barajı;6973700
2016;11;Göksu Kuyuları;2756944
2016;11;Buca ve Sarnıç Kuyuları;0
2016;11;Pınarbaşı Kuyuları;120445
2016;11;Alaçatı Kutlu Aktaş Barajı;269290
2016;11;Gördes Barajı;0
2016;11;Ödemiş İçme Suyu Arıtma Tesisleri;77499
2016;10;Ödemiş İçme Suyu Arıtma Tesisleri;0
2016;10;Alaçatı Kutlu Aktaş Barajı;317879
2016;10;Pınarbaşı Kuyuları;130049
2016;10;Buca ve Sarnıç Kuyuları;0
2016;10;Gördes Barajı;0
2016;10;Göksu Kuyuları;3126712
2016;10;Tahtalı Barajı;7307200
2016;10;Balçova Barajı;477960
2016;10;Ürkmez Barajı;88573
2016;10;Güzelhisar Barajı;187810
